Miniparty Deluxe - Party Room & BBQ,https://reubird.hk/party-room/kt-miniparty-deluxe/1y-kt-miniparty-deluxe,,觀塘鴻圖道55號幸運工業大廈, 場地面積: 1200+800 (平方尺) ,"
 場地最高可容納人數: 50人 "
Miniparty Mini,https://reubird.hk/party-room/mini_party/xLayiE8Xkq_mini_party,,觀塘偉業街146號美嘉工業大廈, 場地面積: 350 (平方尺) ,"
 場地最高可容納人數: 10人 "
Chill Party,https://reubird.hk/party-room/chill-party/gS-chill-party,"平日收費(星期一至四)$110/3小時$120/4小時$140/5小時$160/6小時
周末/假日收費(星期五至日/假日/假日前夕)$130/3小時$140/4小時$160/5小時$180/6小時
加鐘：$20/hr 丨以上價錢以人頭計算丨
以上價格已包飲品任飲
 
 ",旺角道97號華懋王子大廈, 場地面積: 500 (平方尺) ,"
 場地最高可容納人數: 20人 "
Sunday Morning Club - Earth,https://reubird.hk/party-room/sunday-morning-club-earth/sunday-morning-club-earth-6488,"星期一至四：

09:00 - 00:00：每位$88 / 3小時
加鐘每位$30 / 小時
00:00 - 06:00：每位$188 / 6小時
加鐘每位$40 / 小時

星期五：

09:00 - 18:00：每位$88 / 3小時
加鐘每位$30 / 小時
18:00 - 00:00：每位$118 / 3小時
加鐘每位$40 / 小時
00:00 - 06:00：每位$188 / 6小時
加鐘每位$40 / 小時

星期六日、公眾假期及公眾假期前夕：

09:00 - 00:00：每位$118 / 3小時
加鐘每位$40 / 小時
00:00 - 06:00：每位$188 / 6小時
加鐘每位$40 / 小時

拍攝：

$400 / 小時

其他優惠：

提供學生證減$20
人多包場有特別優惠，歡迎透過ReUbird查詢
",觀塘巧明街105號好運工業大廈10樓A室, 場地面積: 400 (平方尺) ,"
 場地最高可容納人數: 12人 "
Party Fun 月球房,https://reubird.hk/party-room/party-fun/GQ-party-fun,"星期一至四：

10:00 - 18:00：每位$110 / 4小時
19:00 - 00:00：每位$120 / 4小時
00:00 - 06:00：每位$130 / 4小時
最低消費2位

星期五至日、公眾假期及公眾假期前夕：


10:00 - 18:00：每位$110 / 4小時
19:00 - 00:00：每位$125 / 4小時
00:00 - 06:00：每位$140 / 4小時
最低消費2位

 

備註

特別時段包場另議
如攜帶外來飲品或自行訂到會，請事前通知我們。
所有遊樂設施全包
保證不會與其他人共用，可自由出入
",九龍旺角廣東道900 - 904號昌華商業大廈2B室, 場地面積: 400 (平方尺) ,"
 場地最高可容納人數: 20人 "
圍威喂 Party — 英倫花園,https://reubird.hk/party-room/waiwaiwai-party-england-garden/waiwaiwai-party-england-garden-2367,"星期一至星期四 

10:00 - 18:00：每人$98 / 4小時


18:00 - 00:00：每人$138 / 3小時每人$158 / 4小時
通宵時段須在 ReUbird 網上查詢後額外報價

星期五至星期日&公眾假期及前夕

10:00 - 00:00：每人$158 / 3小時每人$178 / 4小時
通宵時段須在 ReUbird 網上查詢後額外報價

 
小童收費

0 -  2歲嘅BB一律免費
3 - 10歲嘅小朋友半價
11歲以上全價
",鴻圖道12號精棉工業大廈 , 場地面積: 300 (平方尺) ,"
 場地最高可容納人數: 60人 "
JM PARTY - Chill Grey,https://reubird.hk/party-room/tw-jmparty-grey/na-tw-jmparty-grey,"星期一至四：
06:00 – 12:00：每位$25/小時12:00 – 18:00：每位$35/小時18:00 – 00:00：每位$40/小時
星期五六日公眾假期及前夕：
06:00 – 12:00：每位$30/小時12:00 – 18:00：每位$40/小時18:00 – 00:00：每位$40/小時
貓頭鷹PARTY：00:00 - 06:00每位$188時段內任玩
* 最低消費為3小時* 最低消費人數以成人收費計算，0-2歲免費，3-10歲小童當半位成人計
其他優惠 ：生日優惠：主人公免收費（優惠適用於生日正日前後七日內），必須先達成最低消費後，額外人頭才可享免費學生優惠：正價9折38人以上優惠：正價9折更可打通兩房包全場
*以上優惠只能3選1，以及人數必須先達成最低消費。",荃運工業中心一期 柴灣角沙咀道45-53號 https://goo.gl/maps/qFQnBK17JshrKwmZ9, 場地面積: 700 (平方尺) ,"
 場地最高可容納人數: 100人 "
Party paradise,https://reubird.hk/party-room/party-paradise/jq-party-paradise,"星期一至四

06:00 - 17:00：每位$30 / 小時
17:00 - 23:00：每位$38 / 小時
23:00 - 06:00：每位$158 / 7小時

星期五至日、公眾假期及公眾假期前夕

06:00 - 17:00：每位$35 / 小時
17:00 - 23:00：每位$45 / 小時
23:00 - 06:00：每位$180 / 7小時

抗疫優惠

通宵時段改為23:00 - 09:00，每位$14.8 / 小時
",旺角廣華街廣發大廈, 場地面積: 300 (平方尺) ,"
 場地最高可容納人數: 18人 "
Vpartyroom,https://reubird.hk/party-room/v-partyroom-kt/Da-v-partyroom-kt,"星期一至四08:00 - 12:00：每位$20 /小時12:00 - 18:00：每位$30 /小時18:00 - 00:00：每位$36 /小時
星期五、六、日08:00 - 12:00：每位$25 /小時12:00 - 18:00：每位$36 /小時18:00 - 00:00：每位$39 /小時
通宵劃一價（00:00 - 08:00) ：每位$188 /全時段
**價錢不適用於12月份及特別日子，詳情請向我們查詢**",九龍觀塘成業街成運工業大廈314室, 場地面積: 650 (平方尺) ,"
 場地最高可容納人數: 25人 "
PartyGO MK,https://reubird.hk/party-room/party-go-mk/iX-party-go-mk,"星期一至四、星期五18:00前：

每位$138 / 4小時
加時每位$28 / 小時

星期五18:00後、星期六日、公眾假期及公眾假期前夕：

每位$168 / 4小時
加時每位$32 / 小時

星期一至日23:00後：

每位$188 / 8小時

 ",旺角新填地街470號海島中心17樓4室, 場地面積: 400 (平方尺) ,"
 場地最高可容納人數: 16人 "
Party M - 小小法國,https://reubird.hk/party-room/party-m-french/party-m-french-3077,"星期一至四

09:00 - 17:00：每位$118 / 4小時
17:00 - 02:00：每位$138 / 4小時

星期五至日、公眾假期及公眾假期前夕

09:00 - 17:00：每位$128 / 4小時
17:00 - 02:00：每位$148 / 4小時
00:00 - 08:00：每位$258 / 8小時

備註：

星期一至日營業時間：09:00 - 02:00
星期五至日、公眾假期及公眾假期前夕為24小時營業
",觀塘巧明街105號好運工業大廈（地址在網上查詢及預約後提供）, 場地面積: 116 (平方尺) ,"
 場地最高可容納人數: 6人 "
Open Parties - 布丁房（黃）,https://reubird.hk/party-room/open-parties-yellow-mk/Dx-open-parties-yellow-mk,"星期一至四

每位$138 / 首4小時

星期五至日

每位$158 / 首4小時 

公眾假期及公眾假期前夕

每位$168 / 首4小時

加鐘收費

首4小時後每位$30 / 小時

備註

本店沒有加一收費
入場前收取$500按金
如發現客人在場內吸煙、嘔吐、濺濕設施而引致額外清潔需要，該$500作為額外清潔費賠償
如情況持續多次發生有機會向客人收取多於 1 次清潔費用
以下事項如發現違規, 每次收取清潔費為$500
客人如使用 BBQ，必須離開前做好簡單清潔
如使用打邊爐，離開前需做好清洗爐具及用具
如非店員同意，客人切勿擅自更改或移動場內機器或遊戲設施
嚴禁在場內玩掟蛋糕、發放紙炮
嚴禁所有煙花和粉塵之類易燃物品進場
",旺角塘尾道60-62號福康工業大廈401室, 場地面積: 350 (平方尺) ,"
 場地最高可容納人數: 15人 "
Party Fun Secret Party,https://reubird.hk/party-room/party-fun-secret-party/party-fun-secret-party-6467,"星期一至四：

每位$90/3小時
每位$110/4小時
每位$130/5小時
每位$150/6小時

星期五至日、公眾假期及公眾假期前夕：

每位$100/3小時
每位$120/4小時
每位$140/5小時
每位$160/6小時

貓頭鷹時段優惠（不限日子）：

00:00 - 10:00：每位$150 / 8小時
",旺角好景商業中心, 場地面積: 300 (平方尺) ,"
 場地最高可容納人數: 12人 "
PartyGO Plus,https://reubird.hk/party-room/party-go-plus/GX-party-go-plus,"星期一至四、星期五18:00前：

每位$138 / 4小時
加時每位$28 / 小時

星期五18:00後、星期六日、公眾假期及公眾假期前夕：

每位$168 / 4小時
加時每位$32 / 小時

星期一至日23:00後,貓頭鷹時段收費

每位$188 / 8小時

 ",旺角登打士街36號恆威商業中心16樓全層, 場地面積: 400 (平方尺) ,"
 場地最高可容納人數: 25人 "
Nowheres Party Room & BBQ,https://reubird.hk/party-room/kt-nowheres-party/Da-kt-nowheres-party,"星期一至四

11:30 - 17:30：每位$158 / 6小時
18:30 - 23:30：每位$168 / 5小時
23:59 - 07:59：每位$188 / 8小時
每人2款無酒精飲品（每位加$10可升級無限任飲）

星期五至日、公眾假期及公眾假期前夕 

11:30 - 17:30：每位$188 / 6小時
18:30 - 23:30：每位$198 / 5小時
23:59 - 07:59：每位$198 / 8小時
每人2款無酒精飲品（每位加$10可升級無限任飲）
",觀塘開源道47號凱源工業大廈5樓I室, 場地面積: 2200 (平方尺) ,"
 場地最高可容納人數: 80人 "
Panana Chill 18 Partyroom,https://reubird.hk/party-room/panana-chill-18-party-room/panana-chill-18-party-room-6369,"   




4位或以上價目表(每位)




 


星期一至四


星期五至日、公眾假期及
公眾假期前夕




時段A
09:00-15:00


3小時 $90
(之後每小時 $15)


3小時 $100
(之後每小時 $15)




時段B
15:00-23:00


3小時 $110
(之後每小時 $20)


3小時 $120
(之後每小時 $20)




通宵
00:00-09:00


7小時 $130
(之後每小時 $20)


7小時 $160
(之後每小時 $20)




備註:


1.跨時段每位另收$10
2.臨時加鐘每小時$35


1.跨時段每位另收$10
2.臨時加鐘每小時$35




 ",旺角花園街2-16號好景商業中心2716室, 場地面積: 280 (平方尺) ,"
 場地最高可容納人數: 12人 "
MMPartyClub (M.P.),https://reubird.hk/party-room/kc-mm-partyclub/1y-kc-mm-partyclub,"星期一至四：

06:00 - 12:00：每位$115 / 4小時 
12:00 - 18:00：每位$135 / 4小時 
18:00 - 23:00：每位$145 / 4小時 
23:00 - 06:00：每位$135 / 4小時 

星期五至日、公眾假期及公眾假期前夕：

06:00 - 12:00：每位$125 / 4小時 
12:00 - 18:00：每位$145 / 4小時 
18:00 - 23:00：每位$155 / 4小時 
23:00 - 06:00：每位$145 / 4小時
",葵興華星街, 場地面積: 1400 (平方尺) ,"
 場地最高可容納人數: 23人 "
